,ZONE,AISLE,BAY,LVL,LOCATION,LOCATION_TYPE,PERM / TEMP,LOC WIDTH,LOC LENGTH,LOC HEIGHT,CURR MIN,CURR MAX,SKU,DESCRIPTION,UNIT HEIGHT,UNIT WIDTH,UNIT LENGTH,UNIT WEIGHT,UNIT VOLUME,PACK FLAG,DAILY UNITS,DAILY CUBIC VELOCITY,DAILY HITS,WAVE TASK (4 WEEKS),LEAN TASK (4 WEEKS),TOTAL TASK (4 WEEKS),WEEK 1 UNITS (NEWEST),WEEK 2 UNITS,WEEK 3 UNITS,WEEK 4 UNITS (OLDEST),WEEKLY AVERAGE,ON-HAND INVENTORY,Weight > 35,LV,IV,DS
15954,CP2,1,11,D,CP2-001-011-D08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,1.0,8.0,1002749478.0,21 QT. SOFT SIDED JOBSITE LUNCH COOL,13.1,14.7,10.9,2.75,2099.013,,0.04,87.46,0.04,0,0,0,1,0,0,0,0.25,33,No,15225.0,16792.104,-1567.1039999999994
16087,CP2,1,22,C,CP2-001-022-C06,Pick Mod - Bin,P,12.0,24.0,18.0,6.0,32.0,1001385192.0,HAF-CINS - SLIM WATER FILTER,2.85,4.9,11.7,0.77,163.3905,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,54,No,5184.0,5228.496,-44.496000000000095
16105,CP2,1,23,D,CP2-001-023-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,5.0,15.0,1000333703.0,SHIFTER 300 LB. 2-IN-1 CONVERTIBLE H,4.9,16.3,32.7,16.1,2611.749,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,No,30450.0,39176.235,-8726.235
16140,CP2,1,26,B,CP2-001-026-B07,Pick Mod - Bin,P,12.0,24.0,18.0,5.0,35.0,263439.0,FOAM 9 PIECE MULTI BRUSH SET,10.2,7.45,2.1,0.23,159.579,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,140,No,5184.0,5585.265,-401.2650000000003
16153,CP2,1,27,C,CP2-001-027-C01,Pick Mod - Carton Flow,P,10.5,100.0,14.5,4.0,24.0,571198.0,14X24 RETURN AIR FILTER GRILLE,28.25,17.35,2.45,7.35,1200.8368,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,11,No,15225.0,28820.0832,-13595.083200000001
16158,CP2,1,28,A,CP2-001-028-A05,Pick Mod - Bin,P,18.0,24.0,18.0,12.0,45.0,1002710873.0,ROUNDUP WEED&GRASS KLR QT CONC,13.0,6.0,3.0,3.0,234.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,No,7776.0,10530.0,-2754.0
16187,CP2,1,30,A,CP2-001-030-A08,Pick Mod - Bin,P,6.0,24.0,18.0,2.0,20.0,301116.0,"PORTER 8"" 2HDL BATH FAUCET BN",14.125,3.0,10.25,4.795,434.3437,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,No,2592.0,8686.874,-6094.874
16221,CP2,1,32,C,CP2-001-032-C08,Pick Mod - Bin,P,6.0,24.0,18.0,6.0,126.0,355113.0,T-POST CLIP 25PK,5.0,5.0,1.0,0.5,25.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,113,No,2592.0,3150.0,-558.0
16271,CP2,1,36,A,CP2-001-036-A08,Pick Mod - Bin,P,6.0,24.0,18.0,20.0,160.0,1007184728.0,BAR PULLS 3-3/4 IN. (96 MM) CENTER G,1.5,7.9,3.5,0.5,41.475,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,2592.0,6636.0,-4044.0
16286,CP2,1,37,B,CP2-001-037-B03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,5.0,16.0,1003136353.0,4.0 AMP ELECTRIC 22 IN. HEDGE TRIMME,6.3,10.4,36.8,6.4,2411.136,SR,0.04,100.46,0.04,0,1,1,1,0,0,0,0.25,13,No,30450.0,38578.176,-8128.1759999999995
16321,CP2,1,39,D,CP2-001-039-D01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,6.0,12.0,1002713202.0,22 IN. BLACK JUMBO DUST PAN,7.5,16.0,21.5,1.05,2580.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,29,No,30450.0,30960.0,-510.0
16394,CP2,1,46,A,CP2-001-046-A01,Pick Mod - Bin,P,24.0,24.0,18.0,14.0,42.0,1000019258.0,HDX BOWL BRUSH WITH CADDY,17.64,5.12,5.21,0.5,470.5505,,0.04,19.61,0.04,0,0,0,1,0,0,0,0.25,38,No,10368.0,19763.121,-9395.121
16423,CP2,1,48,A,CP2-001-048-A05,Pick Mod - Bin,P,18.0,24.0,18.0,40.0,160.0,185663.0,STANLEY 25' POWERLOCK TAPE MEASURE,1.8,4.6,7.1,0.88,58.788,,0.04,2.45,0.04,0,0,0,1,0,0,0,0.25,332,No,7776.0,9406.08,-1630.08
16492,CP2,1,53,A,CP2-001-053-A05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,6.0,24.0,371118.0,"24"" SHELF AND ROD",7.0,12.2,22.5,3.1,1921.5,,1.25,2401.88,0.29,0,0,0,6,14,0,0,5.0,0,No,45675.0,46116.0,-441.0
16493,CP2,1,53,A,CP2-001-053-A08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,32.0,1003340649.0,"NORTHMOORE 1LT 8"" ORB FM DNI",10.6,8.7,8.7,3.4,802.314,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,15225.0,25674.048,-10449.047999999999
16556,CP2,1,57,C,CP2-001-057-C05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,8.0,16.0,210838.0,"13-3/4"" WIRE SPOOL HAND CADDY",9.8,13.25,22.62,3.71,2937.207,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,45675.0,46995.312,-1320.311999999998
16585,CP2,1,59,C,CP2-001-059-C08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,4.0,96.0,1001537757.0,NEXGRILL 8-PIECE GRILL TOOL SET,3.0,3.5,19.3,2.0,202.65,,0.04,8.44,0.04,0,0,0,1,0,0,0,0.25,202,No,15225.0,19454.4,-4229.4000000000015
16611,CP2,1,62,A,CP2-001-062-A07,Pick Mod - Bin,P,6.0,24.0,9.0,6.0,18.0,1001412285.0,"TEKS LATH SHARP PT SCREW 8X1"" 510PK",3.3,4.75,5.55,3.15,86.9962,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,3,No,1296.0,1565.9316000000001,-269.9316000000001
16631,CP2,1,62,B,CP2-001-062-B11,Pick Mod - Bin,P,6.0,24.0,9.0,2.0,10.0,1005582517.0,5 IN. PRO SERIES CHANNEL DRAIN GRATE,2.0,6.0,20.5,1.3,246.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,1296.0,2460.0,-1164.0
16764,CP2,1,64,B,CP2-001-064-B01,Pick Mod - Bin,P,6.0,24.0,18.0,10.0,30.0,1000550601.0,COMPACT RAPIDFIRE CHIMNEY STARTER,5.75,8.0,10.62,1.65,488.52,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,31,No,2592.0,14655.599999999999,-12063.599999999999
16780,CP2,1,64,C,CP2-001-064-C01,Pick Mod - Bin,P,6.0,24.0,18.0,2.0,6.0,1000122090.0,"14 IN. X 20 IN. X 1 IN. ODOR, ALLERG",4.0,15.0,20.5,2.1,1230.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,11,No,2592.0,7380.0,-4788.0
16843,CP2,1,66,B,CP2-001-066-B01,Pick Mod - Bin,P,6.0,24.0,18.0,4.0,20.0,1001607871.0,TURF BLDR 3.75LB EZ SEED,11.95,8.8,4.75,4.37,499.51,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,52,No,2592.0,9990.2,-7398.200000000001
16859,CP2,1,66,C,CP2-001-066-C01,Pick Mod - Bin,P,6.0,24.0,18.0,6.0,12.0,711991.0,"18"" WHITE 3-TIER RACK",6.0,18.75,18.5,2.25,2081.25,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,18,No,2592.0,24975.0,-22383.0
16896,CP2,1,67,B,CP2-001-067-B05,Pick Mod - Carton Flow,P,21.0,100.0,14.5,10.0,50.0,748726.0,"8"" BLK UV RESIST CABLE TIE 1000PK",9.45,17.32,9.84,2.61,1610.5521,,0.0,0.0,0.0,0,3,3,0,0,0,0,0.0,104,No,30450.0,80527.60500000001,-50077.60500000001
16904,CP2,1,67,D,CP2-001-067-D05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,5.0,16.0,1002225946.0,"52"" OAKHURST LED NB",23.2,14.7,9.5,21.55,3239.88,SR,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,20,No,45675.0,51838.08,-6163.080000000002
