,ZONE,AISLE,BAY,LVL,LOCATION,LOCATION_TYPE,PERM / TEMP,LOC WIDTH,LOC LENGTH,LOC HEIGHT,CURR MIN,CURR MAX,SKU,DESCRIPTION,UNIT HEIGHT,UNIT WIDTH,UNIT LENGTH,UNIT WEIGHT,UNIT VOLUME,PACK FLAG,DAILY UNITS,DAILY CUBIC VELOCITY,DAILY HITS,WAVE TASK (4 WEEKS),LEAN TASK (4 WEEKS),TOTAL TASK (4 WEEKS),WEEK 1 UNITS (NEWEST),WEEK 2 UNITS,WEEK 3 UNITS,WEEK 4 UNITS (OLDEST),WEEKLY AVERAGE,ON-HAND INVENTORY,Weight > 35,LV,IV,DS
543,BK1,13,134,,BK1-013-134,Bulk Floor,T,96.0,144.0,192.0,40.0,400.0,811467.0,"54"" 4 RING TOMATO CAGE",54.0,16.2,16.2,2.47,14171.76,HRP,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,40,No,2654208.0,5668704.0,-3014496.0
577,BK1,13,178,,BK1-013-178,Bulk Floor,T,96.0,144.0,192.0,128.0,384.0,894665.0,"42"" HVDTY TOMATO CAGE GREEN",42.0,16.3,16.3,2.0,11158.98,HRP,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,192,No,2654208.0,4285048.32,-1630840.3200000003
594,BK1,13,200,,BK1-013-200,Bulk Floor,T,96.0,144.0,192.0,120.0,360.0,1001703000.0,"54"" HVDTY TOMATO CAGE GREEN",54.0,16.2,16.2,2.8,14171.76,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,280,No,2654208.0,5101833.6,-2447625.5999999996
885,BK3,70,92,,BK3-070-092,Bulk Floor,T,48.0,144.0,192.0,0.0,160.0,768816.0,8' FG STEP LADDER TI 250LB,97.0,25.0,6.5,25.0,15762.5,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,116,No,1327104.0,2522000.0,-1194896.0
979,BK3,71,108,,BK3-071-108,Bulk Floor,T,48.0,144.0,192.0,8.0,54.0,305175.0,RUBBERMAID HORIZONTAL STORAGE SHED,13.062,48.875,63.5,92.81,40538.7333,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,7,Yes,1327104.0,2189091.5982,-861987.5981999999
1021,BK3,71,150,,BK3-071-150,Bulk Floor,T,48.0,144.0,192.0,12.0,64.0,1000035246.0,50GAL/40K BTU GAS TALL PERF+ W/H N3,65.0,22.7,26.3,154.0,38805.65,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,Yes,1327104.0,2483561.6,-1156457.6
1480,CN1,80,68,A,CN1-080-068-A01,Cantilever,T,108.0,52.0,39.5,1.0,103.0,689930.0,"2""X10' GAL PIPE",4.4,4.4,120.0,4.4,2323.2,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,221832.0,239289.59999999998,-17457.599999999977
1497,CN1,80,74,C,CN1-080-074-C01,Cantilever,T,17.0,97.0,15.0,0.0,47.0,1001819330.0,"SPEE-D CHANNEL DRN 4""X10' W/ MTL GR",4.0,5.85,119.95,26.98,2806.83,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,24735.0,131921.01,-107186.01000000001
1918,CP1,1,5,C,CP1-001-005-C04,Pick Mod - Carton Flow,P,10.5,100.0,14.5,6.0,24.0,1005022749.0,HDX GERMICIDAL BLEACH 81OZ,11.95,9.8,5.65,12.59,661.6715,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,36,No,15225.0,15880.116000000002,-655.1160000000018
1938,CP1,1,6,B,CP1-001-006-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,4.0,48.0,870268.0,LYSOL APC LEMON BREEZE 144OZ,6.0,7.0,13.5,3.5,567.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,15225.0,27216.0,-11991.0
1950,CP1,1,6,D,CP1-001-006-D06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,64.0,256270.0,ZEP ANTIBAC DISINFECT 128OZ,12.13,6.02,6.02,9.25,439.596,,0.21,91.58,0.08,0,0,0,5,0,0,0,1.25,35,No,15225.0,28134.144,-12909.144
1974,CP1,1,7,D,CP1-001-007-D06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,64.0,255685.0,ZEP HIGH TRAFFIC FLOOR FINISH 128OZ,6.0,6.0,12.5,8.97,450.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,12,No,15225.0,28800.0,-13575.0
2004,CP1,1,9,B,CP1-001-009-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,32.0,1002716717.0,A&H LIQ W OXI 224 OZ,11.55,10.9,6.25,15.69,786.8437,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,19,No,15225.0,25178.9984,-9953.9984
2022,CP1,1,10,A,CP1-001-010-A06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,9.0,120.0,108210.0,SPECTRACIDE 32 OZ INSECT KILLER SPRY,11.0,5.5,2.3,2.4,139.15,,0.08,11.6,0.04,0,0,0,2,0,0,0,0.5,57,No,15225.0,16698.0,-1473.0
2028,CP1,1,10,B,CP1-001-010-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,18.0,42.0,431429.0,SG APC 128OZ,11.98,6.29,6.29,9.0,473.9779,,0.17,79.0,0.04,0,0,0,4,0,0,0,1.0,64,No,15225.0,19907.071799999998,-4682.071799999998
2034,CP1,1,10,C,CP1-001-010-C06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,24.0,72.0,725109.0,CASCADE COMP DISH GEL FRESH 75OZ,11.65,6.2,2.95,4.76,213.0785,,0.17,35.51,0.08,0,0,0,4,0,0,0,1.0,350,No,15225.0,15341.652,-116.65200000000004
2040,CP1,1,10,D,CP1-001-010-D06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,6.0,42.0,255614.0,ZEP HARDWOOD FLOOR CLEANER 128OZ,12.1,5.96,5.99,8.45,431.9748,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,67,No,15225.0,18142.941600000002,-2917.941600000002
2053,CP1,1,11,B,CP1-001-011-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,15.0,35.0,1002627366.0,128 OZ. CONCENTRATED ALL-PURPOSE CLE,12.0,12.4,12.8,35.0,1904.64,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,144,Yes,15225.0,66662.40000000001,-51437.40000000001
2099,CP1,1,13,B,CP1-001-013-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,7.0,35.0,166685.0,ODOBAN DISINFECT LAVENDER 128OZ,12.11,6.016,6.016,8.63,438.2882,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,31,No,15225.0,15340.087000000001,-115.08700000000135
2105,CP1,1,13,C,CP1-001-013-C06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,21.0,42.0,887268.0,ZEP FAST 505 DEGREASER 128OZ,12.15,6.0,6.0,8.67,437.4,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,32,No,15225.0,18370.8,-3145.7999999999993
2110,CP1,1,13,D,CP1-001-013-D05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,6.0,45.0,953296.0,10 BLACK GOOSE NECK VENT,8.0,16.0,19.0,3.2,2432.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,No,45675.0,109440.0,-63765.0
2111,CP1,1,13,D,CP1-001-013-D06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,5.0,19.0,1000038003.0,PEAK 2.5GAL BLUE DEF,10.35,9.78,10.0,22.8,1012.23,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,73,No,15225.0,19232.37,-4007.369999999999
2255,CP1,1,22,D,CP1-001-022-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,6.0,18.0,1000055057.0,MKE M18 FUEL BAND SAW (TOOL ONLY),12.4,6.3,21.7,16.1,1695.204,SR,0.08,141.27,0.08,0,1,1,2,0,0,0,0.5,62,No,30450.0,30513.672,-63.67199999999866
2256,CP1,1,22,D,CP1-001-022-D05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,4.0,18.0,1000651774.0,DRIP & MICROSPRINKLER KIT,22.75,22.75,5.75,12.65,2975.9843,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,65,No,45675.0,53567.7174,-7892.717400000001
2268,CP1,1,23,C,CP1-001-023-C08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,48.0,96.0,1000249689.0,HANDY PAINT TRAY LINER - 3PK,4.7,12.7,17.2,0.38,1026.668,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,36,No,15225.0,98560.128,-83335.128
2270,CP1,1,23,D,CP1-001-023-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,5.0,20.0,1005350530.0,SIE 100A 20/40 INDR MB PON,5.0,15.9,23.3,22.06,1852.35,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,No,30450.0,37047.0,-6597.0
2355,CP1,1,30,A,CP1-001-030-A08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,5.0,20.0,792695.0,ULTRASAC 55G 2MIL HD DRUM LINER 50CT,6.45,10.3,11.65,15.32,773.9677,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,54,No,15225.0,15479.354000000001,-254.35400000000118
2406,CP1,1,33,D,CP1-001-033-D01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,3.0,36.0,1005135910.0,TSTAK II 4-COMPARTMENT LOCKABLE STOR,6.5,13.0,17.3,4.73,1461.85,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3,No,30450.0,52626.6,-22176.6
2412,CP1,1,34,A,CP1-001-034-A08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,1.0,8.0,1004524139.0,"17"" LED  WALL LT MAJESTIC BLACK",24.0,11.25,10.0,12.8,2700.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3,No,15225.0,21600.0,-6375.0
2439,CP1,1,35,D,CP1-001-035-D08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,2.0,6.0,1001008896.0,MM4 145 MPH 356 CFM 24.5 CC GAS BLOW,16.2,14.7,10.9,12.85,2595.726,,0.04,108.16,0.04,0,0,0,1,0,0,0,0.25,11,No,15225.0,15574.356,-349.35599999999977
2507,CP1,1,40,B,CP1-001-040-B08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,25.0,100.0,1000994486.0,LINZER 9 IN PET TRAY LINER WHITE 10P,2.5,11.5,15.4,1.1,442.75,,0.25,110.69,0.04,0,1,1,6,0,0,0,1.5,129,No,15225.0,44275.0,-29050.0
2533,CP1,1,42,B,CP1-001-042-B01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,4.0,48.0,839404.0,"5/8""X50' GILMOUR MEDIUM DUTY HOSE",5.0,12.0,12.0,5.0,720.0,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,93,No,30450.0,34560.0,-4110.0
2540,CP1,1,42,D,CP1-001-042-D01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,10.0,45.0,1005662652.0,1/2 HP BADGER 5 CONTINUOUS FEED GARB,14.5,7.4,7.4,15.3,794.02,,3.25,2580.57,2.92,0,0,0,78,0,0,0,19.5,0,No,30450.0,35730.9,-5280.9000000000015
2615,CP1,1,48,D,CP1-001-048-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,10.0,50.0,1005866515.0,TOUGHSYSTEM 2.0 DEEP FOAM TOOL DRAWE,3.159,12.402,18.954,0.66,742.5782,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,No,30450.0,37128.91,-6678.9100000000035
2636,CP1,1,50,B,CP1-001-050-B03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,12.0,24.0,1004504650.0,HYDRORAIN 2-IN-1 5S COMBO CH,9.0,10.0,14.5,4.0,1305.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,30450.0,31320.0,-870.0
2659,CP1,1,51,D,CP1-001-051-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,24.0,144.0,130451.0,9IN. METAL ROLLER TRAY,3.0,11.25,15.5,0.8,523.125,,0.04,21.8,0.04,0,0,0,1,0,0,0,0.25,153,No,30450.0,75330.0,-44880.0
2669,CP1,1,52,B,CP1-001-052-B08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,64.0,1001534514.0,UNVRSL PARTS 55IN GRILL CVR,1.95,10.85,11.55,2.09,244.3691,,0.04,10.18,0.04,0,0,0,1,0,0,0,0.25,283,No,15225.0,15639.6224,-414.6224000000002
2671,CP1,1,52,C,CP1-001-052-C05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,4.0,16.0,1005847794.0,ECHO 16 IN. REAR HANDLE GAS CHAINSAW,11.7,11.0,33.5,13.75,4311.45,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,45675.0,68983.2,-23308.199999999997
2688,CP1,1,53,D,CP1-001-053-D01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,5.0,35.0,1003371330.0,MILWAUKEE PACKOUT SLIM LARGE ORG,16.75,3.95,19.75,4.07,1306.7093,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,119,No,30450.0,45734.8255,-15284.825499999999
2725,CP1,1,56,C,CP1-001-056-C05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,4.0,24.0,1000014949.0,ORON 3LT STEEL ISLAND DNI,8.25,11.5,25.75,8.65,2443.0312,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,45675.0,58632.7488,-12957.748800000001
2741,CP1,1,57,C,CP1-001-057-C08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,5.0,48.0,802605.0,FIREX HRDW ION SMOKE ALARM 4PK,6.25,6.35,8.3,2.73,329.4062,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,110,No,15225.0,15811.4976,-586.4976000000006
2759,CP1,1,58,D,CP1-001-058-D05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,10.0,30.0,1004593475.0,MKE M18 FUEL 21 DEGREE FRAMING NAILE,17.05,15.63,6.61,11.37,1761.5088,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,46,No,45675.0,52845.264,-7170.264000000003
2792,CP1,1,61,D,CP1-001-061-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,30.0,180.0,806183.0,9 IN PLASTIC TRAY DEEP WELL-OR,3.6,11.75,16.5,0.6,697.95,,0.04,29.08,0.04,0,0,0,1,0,0,0,0.25,58,No,30450.0,125631.00000000001,-95181.00000000001
2819,CP1,1,63,C,CP1-001-063-C05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,4.0,21.0,1005753870.0,TORO 60V 565 CFM BRUSHLESS BLOWER,20.0,12.0,9.6,14.0,2304.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3,No,45675.0,48384.0,-2709.0
2829,CP1,1,64,A,CP1-001-064-A05,Pick Mod - Bin,P,6.0,24.0,9.0,6.0,54.0,513114.0,TREX UNIV HIDDEN FASTENER COMBO,3.05,5.55,6.4,1.62,108.336,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,1296.0,5850.144,-4554.144
2833,CP1,1,64,A,CP1-001-064-A09,Pick Mod - Bin,P,6.0,24.0,9.0,20.0,30.0,507949.0,"LEDGERLOK 5"" SCREW-12 PK",7.95,3.55,1.55,0.94,43.7448,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,1296.0,1312.344,-16.34400000000005
2839,CP1,1,64,A,CP1-001-064-A15,Pick Mod - Bin,P,6.0,24.0,9.0,5.0,15.0,966699.0,"TIRESCIENCE TUBE FOR 6"" WHEELBARROWS",6.5,3.5,6.4,1.1,145.6,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,6,No,1296.0,2184.0,-888.0
2848,CP1,1,64,B,CP1-001-064-B08,Pick Mod - Bin,P,6.0,24.0,9.0,3.0,18.0,1004647784.0,TIMBERLOK 8 50PACK,2.55,4.2,11.05,3.35,118.3455,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3,No,1296.0,2130.219,-834.219
2852,CP1,1,64,B,CP1-001-064-B12,Pick Mod - Bin,P,6.0,24.0,9.0,5.0,10.0,1001294848.0,"LEDGERLOK 3-5/8"" - 150 PC BUCKET",4.8,7.8,6.3,7.85,235.872,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,No,1296.0,2358.7200000000003,-1062.7200000000003
2854,CP1,1,64,B,CP1-001-064-B14,Pick Mod - Bin,P,6.0,24.0,9.0,10.0,30.0,967224.0,"TIRESCIENCE TUBE FOR 8"" WHEELBARROWS",7.7,6.5,3.05,1.45,152.6525,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,6,No,1296.0,4579.575,-3283.575
2863,CP1,1,64,C,CP1-001-064-C07,Pick Mod - Bin,P,6.0,24.0,9.0,3.0,14.0,1002419409.0,"ROCK-ON SCREW 9X1-5/8"" 575PK",5.25,4.85,5.5,4.42,140.0437,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,12,No,1296.0,1960.6118000000001,-664.6118000000001
2865,CP1,1,64,C,CP1-001-064-C10,Pick Mod - Bin,P,6.0,24.0,9.0,6.0,24.0,1005632365.0,"RB 6"" 1800 SPRAY 15 ADJ PRS",9.5,2.5,2.5,0.38,59.375,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,24,No,1296.0,1425.0,-129.0
2883,CP1,1,64,D,CP1-001-064-D14,Pick Mod - Bin,P,6.0,24.0,9.0,20.0,60.0,1005226551.0,"1/2"" X 5-1/2-IN PARAWEDGE(10-PK)",6.3,4.5,4.3,3.25,121.905,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,2,No,1296.0,7314.3,-6018.3
2892,CP1,1,64,E,CP1-001-064-E07,Pick Mod - Bin,P,6.0,24.0,9.0,2.0,20.0,490311.0,"GRK R4, 9X3-1/8"", 80PK",5.25,3.5,4.15,1.06,76.2562,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,1296.0,1525.1240000000003,-229.12400000000025
2959,CP1,1,65,C,CP1-001-065-C05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,8.0,24.0,454082.0,LUFKIN CONTRACTOR MEASURING WHEEL,24.75,12.6,7.0,3.35,2182.95,,0.71,1546.26,0.54,0,0,0,16,0,1,0,4.25,115,No,45675.0,52390.799999999996,-6715.799999999996
2964,CP1,1,65,D,CP1-001-065-D08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,8.0,32.0,1004820687.0,24 FT. SOLAR INDOOR/OUTDOOR PARTY LE,8.5,7.4,10.9,4.5,685.61,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,14,No,15225.0,21939.52,-6714.52
2972,CP1,1,66,A,CP1-001-066-A08,Pick Mod - Bin,P,6.0,24.0,9.0,2.0,24.0,191866.0,"DW 15.5GA 2"" BRT FLOOR L CLEAT 1M",2.4,6.3,6.3,4.09,95.256,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,1296.0,2286.1440000000002,-990.1440000000002
3003,CP1,1,66,C,CP1-001-066-C07,Pick Mod - Bin,P,6.0,24.0,9.0,6.0,12.0,599916.0,"16D5HDG 16DX3-1/2"" HDG NAILS-5LB BOX",5.0,5.5,5.1,5.3,140.25,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,16,No,1296.0,1683.0,-387.0
3005,CP1,1,66,C,CP1-001-066-C10,Pick Mod - Bin,P,6.0,24.0,9.0,5.0,10.0,682507.0,GBR GOLD SCREW COARSE THREAD 5LB 8X3,4.25,5.75,7.35,5.39,179.6156,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,1296.0,1796.156,-500.15599999999995
3025,CP1,1,66,D,CP1-001-066-D14,Pick Mod - Bin,P,6.0,24.0,9.0,25.0,75.0,1007184689.0,BLACKROCK 96 MM BLACK BRONZE FINISH,0.75,3.5,6.75,0.03,17.7187,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,12,No,1296.0,1328.9025,-32.90249999999992
3037,CP1,1,66,E,CP1-001-066-E10,Pick Mod - Bin,P,6.0,24.0,9.0,14.0,25.0,1001412231.0,"TEKS HWH SHRP PT SCREW 8X1-1/2"" 85PK",5.2,3.5,2.85,0.75,51.87,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,1296.0,1296.75,-0.75
3097,CP1,1,67,B,CP1-001-067-B05,Pick Mod - Carton Flow,P,21.0,100.0,14.5,1.0,12.0,1006819036.0,1/2 IN. X 250 FT. X 12 IN. EMITTER T,8.0,21.0,21.0,10.43,3528.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,No,30450.0,42336.0,-11886.0
3118,CP1,1,68,A,CP1-001-068-A12,Pick Mod - Bin,P,6.0,24.0,9.0,25.0,50.0,517046.0,"HEADLOK 4 1/2"" SCREW-12 PK",1.5,3.5,6.0,0.6,31.5,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,1296.0,1575.0,-279.0
3140,CP1,1,68,C,CP1-001-068-C02,Pick Mod - Bin,P,6.0,24.0,9.0,4.0,16.0,633453.0,GBR DRYWALL SCREW COARSE 5LB 6X1,4.25,5.7,7.3,5.38,176.8425,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,1296.0,2829.48,-1533.48
3172,CP1,1,68,E,CP1-001-068-E02,Pick Mod - Bin,P,6.0,24.0,9.0,24.0,48.0,1001294989.0,"TEKS HWH DRILL PT SCREW 14X3/4"" 70PK",4.9,3.45,1.65,0.92,27.8932,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,5,No,1296.0,1338.8736,-42.8735999999999
3180,CP1,1,68,E,CP1-001-068-E10,Pick Mod - Bin,P,6.0,24.0,9.0,16.0,36.0,190074.0,"TEKS LATH DRL PT SCRW 8X1-5/8"" 120PK",5.15,3.4,2.95,0.98,51.6545,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3,No,1296.0,1859.562,-563.5619999999999
3187,CP1,1,68,F,CP1-001-068-F01,Pick Mod - Bin,P,6.0,24.0,9.0,12.0,24.0,1005752665.0,"TAPCON 3/16X2-1/4 STAR FLAT HD,75PK",6.5,3.7,2.65,0.96,63.7325,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,1296.0,1529.58,-233.57999999999993
3212,CP1,1,68,G,CP1-001-068-G10,Pick Mod - Bin,P,6.0,24.0,9.0,6.0,36.0,1000029937.0,RB 9 OUTLT PRSS REG MANI ON/OFF BIN9,2.7,3.2,4.85,0.11,41.904,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,1296.0,1508.544,-212.5440000000001
3287,CP1,1,73,D,CP1-001-073-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,3.0,20.0,1005140213.0,M18 FUEL 18-VOLT LITHIUM-ION BRUSHLE,11.4,9.6,19.9,20.1,2177.856,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,6,No,30450.0,43557.12,-13107.120000000003
3333,CP1,1,78,C,CP1-001-078-C01,Pick Mod - Bin,P,18.0,24.0,18.0,1.0,8.0,327409.0,"4"" HALO LED IC AIRTITE T24 NC HSN",13.1,12.4,20.9,14.56,3394.996,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,11,No,7776.0,27159.968,-19383.968
3344,CP1,1,79,B,CP1-001-079-B01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,3.0,12.0,1000021831.0,TOASTER OVEN B&D BL 4SL (TO1313SBD),12.55,19.9,17.8,17.75,4445.461,,0.25,1111.37,0.25,0,0,0,0,3,0,0,0.75,0,No,30450.0,53345.53200000001,-22895.532000000007
3365,CP1,1,80,D,CP1-001-080-D01,Pick Mod - Bin,P,24.0,24.0,18.0,24.0,120.0,1005334040.0,MKE 15 IN. PRY BAR,15.65,2.3,2.75,1.66,98.9862,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,59,No,10368.0,11878.344,-1510.3439999999991
3368,CP1,1,80,D,CP1-001-080-D08,Pick Mod - Bin,P,6.0,24.0,18.0,5.0,60.0,496305.0,"EMPIRE 7-1/4""HI-VIS MAGNUM RAFTER SQ",7.15,7.25,1.2,0.56,62.205,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,119,No,2592.0,3732.2999999999997,-1140.2999999999997
3476,CP1,1,90,C,CP1-001-090-C08,Pick Mod - Bin,P,6.0,24.0,18.0,12.0,115.0,1001086980.0,MILWAUKEE ZIPPER POUCH,0.3,12.0,7.5,0.25,27.0,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,115,No,2592.0,3105.0,-513.0
3487,CP1,1,91,B,CP1-001-091-B07,Pick Mod - Carton Flow,P,10.5,100.0,14.5,400.0,2400.0,773482.0,ROTARY NOZZLE 17' 360 PAT HUNTER,5.7,1.0,3.93,0.04,22.401,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,20,No,15225.0,53762.4,-38537.4
3508,CP1,1,92,D,CP1-001-092-D08,Pick Mod - Bin,P,6.0,24.0,18.0,5.0,56.0,1006147128.0,POLYMER DRAIN FITTING FOR 3-1/2 IN.,3.5,4.5,4.5,0.5,70.875,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,58,No,2592.0,3969.0,-1377.0
3532,CP1,1,94,C,CP1-001-094-C08,Pick Mod - Bin,P,6.0,24.0,18.0,40.0,200.0,853267.0,"1/4"" DRIP TUBING STAKE 20PK BIN57",9.3,3.8,0.55,0.04,19.437,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,121,No,2592.0,3887.4,-1295.4
3557,CP1,1,96,C,CP1-001-096-C01,Pick Mod - Bin,P,18.0,24.0,18.0,1.0,5.0,290892.0,"13"" X 20"" SHALLOW JUMBO VALVE BOX BL",7.05,17.75,24.4,8.46,3053.355,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,1,No,7776.0,15266.775,-7490.775
3560,CP1,1,96,C,CP1-001-096-C08,Pick Mod - Bin,P,6.0,24.0,18.0,5.0,113.0,525237.0,RB 1/2IN BARBED ELBOW 4PK (BIN 84),1.0,4.0,9.12,0.07,36.48,,0.04,1.52,0.04,0,0,0,1,0,0,0,0.25,101,No,2592.0,4122.24,-1530.2399999999998
3598,CP1,1,99,B,CP1-001-099-B05,Pick Mod - Carton Flow,P,21.0,100.0,14.5,4.0,20.0,1004034901.0,RAINBIRD LNDSCPE & GARDN SPRAY KIT,20.7,20.9,4.4,5.6,1903.572,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,30450.0,38071.439999999995,-7621.439999999995
3616,CP1,1,101,D,CP1-001-101-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,20.0,80.0,1000018614.0,HDX DEL BOWL & RIM BRUSH WITH CADDY,17.5,5.55,5.55,0.57,539.0437,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,30,No,30450.0,43123.496,-12673.496
3679,CP1,1,106,C,CP1-001-106-C01,Pick Mod - Bin,P,18.0,24.0,18.0,5.0,10.0,1003102331.0,GE 125A 14/24 ML INDOOR VP,4.2,14.9,18.0,16.4,1126.44,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,No,7776.0,11264.400000000001,-3488.4000000000015
3707,CP1,1,108,C,CP1-001-108-C01,Pick Mod - Bin,P,18.0,24.0,18.0,5.0,95.0,1004137970.0,AIRWICK PISO SUMMER DELIGHT 5PK,6.89,8.06,2.07,0.91,114.9541,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,5,No,7776.0,10920.6395,-3144.6394999999993
